"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"SM-S906BIDGEUB","de","null","null","null","null","null","null"
"SM-S906BZWGEUB","de","null","null","null","null","null","null"
"SM-S906BZGDEUB","de","null","null","null","null","null","null"
"SM-S906BZKGEUB","de","null","null","null","null","null","null"
"SM-S906BZKDEUB","de","null","null","null","null","null","null"
"SM-S906BZGGEUB","de","null","null","null","null","null","null"
"SM-S906BIDDEUB","de","null","null","null","null","null","null"
"SM-S906BZWDEUB","de","null","null","null","null","null","null"
"MU-PC2T0T","de","null","null","null","null","null","null"
"EI-T5300BAEGEU","de","null","null","null","null","null","null"
"EI-T5300MBEGEU","de","null","null","null","null","null","null"
"EI-T5300BBEGEU","de","null","null","null","null","null","null"
"RA-EUT","de","null","null","null","null","null","null"
"EI-T7300BLEGEU","de","null","null","null","null","null","null"
"EI-T7300BBEGEU","de","null","null","null","null","null","null"
"EO-IC100","de","null","null","null","null","null","null"
"SM-T225NZAAEUB","de","null","null","null","null","null","null"
"SM-T225NZSAEUB","de","null","null","null","null","null","null"
"VR50T95735W","de","null","null","null","null","null","null"
"SM-T220NZAAEUB","de","null","null","null","null","null","null"
"SM-T220NZSAEUB","de","null","null","null","null","null","null"
"RR39M7305S9","de","null","null","null","null","null","null"
"SM-T500NZAAEUB","de","null","null","null","null","null","null"
"MB-MC","de","null","null","null","null","null","null"
"SM-X205NZAAEUB","de","null","null","null","null","null","null"
"SM-X205NIDAEUB","de","null","null","null","null","null","null"
"SM-X205NZSAEUB","de","null","null","null","null","null","null"
"EB-P3300","de","null","null","null","null","null","null"
"SM-X200NZSAEUB","de","null","null","null","null","null","null"
"SM-X200NZAAEUB","de","null","null","null","null","null","null"
"SM-X200NIDAEUB","de","null","null","null","null","null","null"
"EF-LPUN3","de","null","null","null","null","null","null"
"SM-P619NZBADBT","de","null","null","null","null","null","null"
"SM-P619NZAEDBT","de","null","null","null","null","null","null"
"SM-P619NZAADBT","de","null","null","null","null","null","null"
"SM-F936MTO","de","null","null","null","null","null","null"
"SM-F936STD","de","null","null","null","null","null","null"
"SM-P613NZAADBT","de","null","null","null","null","null","null"
"SM-P613NZBADBT","de","null","null","null","null","null","null"
"SM-P613NZAEDBT","de","null","null","null","null","null","null"
"GP-XVF72","de","null","null","null","null","null","null"
"SM-T736BZKAEUB","de","null","null","null","null","null","null"
"SM-T736BZSAEUB","de","null","null","null","null","null","null"
"RH69B804","de","null","null","null","null","null","null"
"SM-T733NZKAEUB","de","null","null","null","null","null","null"
"SM-T733NZSAEUB","de","null","null","null","null","null","null"
"SM-T733NLIAEUB","de","null","null","null","null","null","null"
"SM-T733NLGAEUB","de","null","null","null","null","null","null"
"SM-T976BZKEEUB","de","null","null","null","null","null","null"
"SM-X900STD","de","null","null","null","null","null","null"
"SM-X706BZSAEUB","de","null","null","null","null","null","null"
"SM-X706BZSBEUB","de","null","null","null","null","null","null"
"SM-X706BZABEUB","de","null","null","null","null","null","null"
"SM-X706BIDAEUB","de","null","null","null","null","null","null"
"SM-X706BZAAEUB","de","null","null","null","null","null","null"
"SM-X706BIDBEUB","de","null","null","null","null","null","null"
"RL34T600CS9","de","null","null","null","null","null","null"
"RL34T665ES9","de","null","null","null","null","null","null"
"SM-X906BZAFEUB","de","null","null","null","null","null","null"
"SM-X906BZAEEUB","de","null","null","null","null","null","null"
"SM-X906BZAAEUB","de","null","null","null","null","null","null"
"RS6GA8521S9","de","null","null","null","null","null","null"
"RS6GA8531S9","de","null","null","null","null","null","null"
"RS6GA8831S9","de","null","null","null","null","null","null"
"RS6JA8511S9","de","null","null","null","null","null","null"
"RS6JA8811S","de","null","null","null","null","null","null"
"SM-X900NZAAEUB","de","null","null","null","null","null","null"
"SM-X900NZAEEUB","de","null","null","null","null","null","null"
"SM-X900NZAFEUB","de","null","null","null","null","null","null"
"C27T550FDR","de","null","null","null","null","null","null"
"SM-X700NZABEUB","de","null","null","null","null","null","null"
"SM-X700NIDAEUB","de","null","null","null","null","null","null"
"SM-X700NIDBEUB","de","null","null","null","null","null","null"
"SM-X700NZSBEUB","de","null","null","null","null","null","null"
"SM-X700NZSAEUB","de","null","null","null","null","null","null"
"SM-X700NZAAEUB","de","null","null","null","null","null","null"
"S34A650UXU","de","null","null","null","null","null","null"
"SM-X806BZAAEUB","de","null","null","null","null","null","null"
